source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date	comment
en	Congenital bilateral hip dislocation	HP:0008780	rdfs:label	ar	خلع خلقي مزدوج لمفصل الورك	CANDIDATE	PAVS-Pipeline (GPT-4o)	ALGORITHM	2026-03-01	LLM-generated via PAVS pipeline
en	Wide proximal femoral metaphysis	HP:0008783	rdfs:label	ar	اتساع المشاشة القريبة للفخذ	CANDIDATE	PAVS-Pipeline (GPT-4o)	ALGORITHM	2026-03-01	LLM-generated via PAVS pipeline
en	Increased width of the proximal part of the shaft (metaphysis) of the femur.	HP:0008783	IAO:0000115	ar	زيادة في عرض الجزء القريب من جسم عظمة الفخذ (المشاشة).	CANDIDATE	PAVS-Pipeline (GPT-4o)	ALGORITHM	2026-03-01	LLM-generated via PAVS pipeline
en	Wide capital femoral epiphyses	HP:0008784	rdfs:label	ar	اتساع المشاشة الرأسمية للفخذ	CANDIDATE	PAVS-Pipeline (GPT-4o)	ALGORITHM	2026-03-01	LLM-generated via PAVS pipeline
en	Abnormally wide morphology of the proximal epiphysis of the femur.	HP:0008784	IAO:0000115	ar	تشوه عريض بشكل غير طبيعي في المشاشة القريبة من عظم الفخذ.	CANDIDATE	PAVS-Pipeline (GPT-4o)	ALGORITHM	2026-03-01	LLM-generated via PAVS pipeline
en	Delayed ossification of pubic rami	HP:0008785	rdfs:label	ar	تأخر التعظم في فروع العانة	CANDIDATE	PAVS-Pipeline (GPT-4o)	ALGORITHM	2026-03-01	LLM-generated via PAVS pipeline
en	Delayed maturation and calcification of the rami (branches) of the pubic bone.	HP:0008785	IAO:0000115	ar	تأخر في نضوج وتكلس الفروع (الفروع) في عظم العانة.	CANDIDATE	PAVS-Pipeline (GPT-4o)	ALGORITHM	2026-03-01	LLM-generated via PAVS pipeline
en	Iliac crest serration	HP:0008786	rdfs:label	ar	تعرجات قمة الحرقفة	CANDIDATE	PAVS-Pipeline (GPT-4o)	ALGORITHM	2026-03-01	LLM-generated via PAVS pipeline
en	Irregularities of the iliac crest that produce the appearance of a lace border around it.	HP:0008786	IAO:0000115	ar	عدم انتظام في قمة الحرقفة ينتج عنه شكل محيط يشبه الدانتيل.	CANDIDATE	PAVS-Pipeline (GPT-4o)	ALGORITHM	2026-03-01	LLM-generated via PAVS pipeline
en	Delayed pubic bone ossification	HP:0008788	rdfs:label	ar	تأخر التعظم في عظم العانة	CANDIDATE	PAVS-Pipeline (GPT-4o)	ALGORITHM	2026-03-01	LLM-generated via PAVS pipeline
